"SKU","Title","Product ID","Variant ID","Specifications","Images"
"2229","Norman - Black","prod_01JQ0GC2E116G0CF306T5XR553","variant_01JQ0GC2F7SE2Y4SEZTYY4TWZD","SKU: 2229
Material: Black painted ash laminated plywood
Seat Depth: 46 cm
Seat Height: 44 cm
Weight Limit: 100 kg
Product Weight: 5 kg
Leg Information: Diameter: 2 cm
Other Information: There are adjustable levellers under each foot which protect the floor
Product Dimensions: H83 cm x W44 cm x D52 cm
Packaging Dimensions: 53 cm x 53 cm x 85 cm (8 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/files/2229-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2229-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2229-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2229-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2229-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2229-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2229-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/rollover_2229.jpg"
"1062","Rocker - Rocker - Rocker Chair, White","prod_01JQ0GC365SBPJ6XR1FJ4HSHDY","variant_01JQ0GC36VD6D1H85P905SAMBK","SKU: 1062
Material: Polypropylene
Seat Height: 42 cm
Weight Limit: 100 kg
Base Material: FSC certified FAS grade beech wood
Product Weight: 6 kg
Product Dimensions: H67 cm x W64 cm x D69 cm
Packaging Dimensions: 71 cm x 64 cm x 42 cm (7 kg)
Assembly Requirements: The seat needs to be screwed onto the base. Click here for instructions
Indoor or Outdoor Use: It is weather resistant but we suggest that it is primarily used indoors
No. of Shipping Cartons: 1
Tools & Fixings Included: Yes","https://cdn.shopify.com/s/files/1/2589/1828/products/1062-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1062-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1062-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1062-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1062-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1062-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1062-12_c380d52b-96fc-48d4-a3c8-67c1a24062a3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1062.jpg"
"1064","Wish - White","prod_01JQ0GC71P21SPECXXYR9C0W4S","variant_01JQ0GC72P4T3R0CHZT56GYJY2","SKU: 1064
Material: Danish paper cord seat
Stackable: No
Seat Height: 44 cm
Weight Limit: 100 kg
Base Material: Painted beech in a satin/semi-gloss finish
Product Weight: 5 kg
Product Dimensions: H75 cm x W55 cm x D51 cm (Arm Height: 71 cm)
Packaging Dimensions: 58 cm x 54 cm x 77 cm (6 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/files/1064-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1064-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1064-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1064-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1064-5.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1064-6.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1064-7.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1064-8.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1064-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1064-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1064-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/rollover_1064.jpg"
"1488","Wish - Pink","prod_01JQ0GC71P21SPECXXYR9C0W4S","variant_01JQ0GC72P9A949XVDJY1W59KR","SKU: 1488
Material: Danish paper cord seat
Stackable: No
Seat Height: 44 cm
Weight Limit: 100 kg
Base Material: Painted beech in a satin/semi-gloss finish
Product Weight: 5 kg
Product Dimensions: H75 cm x W55 cm x D51 cm (Arm Height: 71 cm)
Packaging Dimensions: 58 cm x 54 cm x 77 cm (6 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/products/1488-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1488-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1488-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1488-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1488-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1488-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1488-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1488.jpg"
"1063","Wish - Black with Natural Seat","prod_01JQ0GC71P21SPECXXYR9C0W4S","variant_01JQ0GC72PCSFTMW6TK56MRHY4","SKU: 1063
Material: Danish paper cord seat
Stackable: No
Seat Height: 44 cm
Weight Limit: 100 kg
Base Material: Painted beech in a satin/semi-gloss finish
Product Weight: 5 kg
Product Dimensions: H75 cm x W55 cm x D51 cm (Arm Height: 71 cm)
Packaging Dimensions: 58 cm x 54 cm x 77 cm (6 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/products/1063-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1063-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1063-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1063-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1063-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1063-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1063-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1063.jpg"
"1359","Wish - Green","prod_01JQ0GC71P21SPECXXYR9C0W4S","variant_01JQ0GC72PDTYS717CD5Y698FF","SKU: 1359
Material: Danish paper cord seat
Stackable: No
Seat Height: 44 cm
Weight Limit: 100 kg
Base Material: Painted beech in a satin/semi-gloss finish
Product Weight: 5 kg
Product Dimensions: H75 cm x W55 cm x D51 cm (Arm Height: 71 cm)
Packaging Dimensions: 58 cm x 54 cm x 77 cm (6 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/files/1359-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1359-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1359-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1359-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1359-5.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1359-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1359-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1359-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/rollover_1359.jpg"
"1355","Wish - Light Walnut","prod_01JQ0GC71P21SPECXXYR9C0W4S","variant_01JQ0GC72PE84W700M2YE07FSC","SKU: 1355
Material: Solid Walnut with Danish paper cord seat
Max Load: 100 kg
Stackable: No
Seat Height: 44 cm
Weight Limit: 100 kg
Product Weight: 6 kg
Product Dimensions: H75 cm x W55 cm x D51 cm (Arm Height: 71 cm)
Packaging Dimensions: 58 cm x 54 cm x 77 cm (6 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/files/1355-1_4a118604-d641-4259-811a-9d3bf2e00126.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1355-2_c8051e65-54ee-4bf7-b19b-dd6cf1b7b09e.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1355-3_ef7c680f-4d5c-41c4-a907-337a5835c702.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1355-4_36d1bb01-7ce7-459f-a128-71e95d3face6.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1355-10_ecd399e8-0424-4948-9d61-4a9af2de8881.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1355-11_dfdb716e-befc-4d1b-8e12-948133c5adad.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1355-12_70690a9f-4589-40f0-aa21-86155907557c.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/rollover_1355_1308b6b1-697f-4e29-b783-3b57a0bba38f.jpg"
"1065","Wish - Ash","prod_01JQ0GC71P21SPECXXYR9C0W4S","variant_01JQ0GC72PNKGMTKF0729RAE6K","SKU: 1065
Material: Danish paper cord seat
Stackable: No
Seat Height: 44 cm
Weight Limit: 100 kg
Base Material: FSC certified ash wood
Product Weight: 6 kg
Product Dimensions: H75 cm x W55 cm x D51 cm (Arm Height: 71 cm)
Packaging Dimensions: 58 cm x 54 cm x 77 cm (6 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/products/1065-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1065-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1065-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1065-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1065-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1065-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2773-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/rollover_2773.jpg"
"1450","Wish - Wood, Beech","prod_01JQ0GC71P21SPECXXYR9C0W4S","variant_01JQ0GC72PSTQMCMZQTYJA8QPB","SKU: 1450
Material: Danish paper cord seat
Stackable: No
Seat Height: 44 cm
Weight Limit: 100 kg
Base Material: FSC certified beech wood
Product Weight: 5 kg
Product Dimensions: H75 cm x W55 cm x D51 cm (Arm Height: 71 cm)
Packaging Dimensions: 58 cm x 54 cm x 77 cm (6 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/products/1450-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1450-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1450-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1450-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1450-5.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1450-6.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1450-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1450.jpg"
"1449","Wish - Oak","prod_01JQ0GC71P21SPECXXYR9C0W4S","variant_01JQ0GC72PX1AJX5V3Z7Z7AT7V","SKU: 1449
Material: Danish paper cord seat
Stackable: No
Seat Height: 44 cm
Weight Limit: 100 kg
Base Material: FSC certified oak with a satin/semi-gloss finish
Product Weight: 5 kg
Product Dimensions: H75 cm x W55 cm x D51 cm (Arm Height: 71 cm)
Packaging Dimensions: 58 cm x 54 cm x 77 cm (6 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/products/1449-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1449-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1449-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1449-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1449-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1449-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1449-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1449.jpg"
"1356","Wish - Black with Black Seat","prod_01JQ0GC71P21SPECXXYR9C0W4S","variant_01JQ0GC72PZWWCMS51RS3BTNTJ","SKU: 1356
Material: Danish paper cord seat
Stackable: No
Seat Height: 44 cm
Weight Limit: 100 kg
Base Material: Painted beech in a satin/semi-gloss finish
Product Weight: 6 kg
Product Dimensions: H75 cm x W55 cm x D51 cm (Arm Height: 71 cm)
Packaging Dimensions: 58 cm x 54 cm x 77 cm (6 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/files/1356-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1356-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1356-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1356-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1356-5.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1356-6.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1268-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1268.jpg"
"1070","Finn Juhl - Finn Juhl - Finn Juhl Credenza, Walnut and Blue","prod_01JQ0GG13X5372SQSSR5JN9ZR5","variant_01JQ0GG14VTPRERSGV9XPFDZ7D","SKU: 1070
Material: Engineered wood with a walnut veneer
Base Material: Walnut
Product Weight: 87 kg
Shelf Dimensions: W70 cm x D34 cm x H2 cm
Drawer Dimensions: W45 cm x D30 cm x H5 cm
Other Information: The shelves are adjustable
Product Dimensions: H90 cm x W196 cm x D46 cm
Packaging Dimensions: 1x 202 cm x 52 cm x 66 cm (120 kg) [1070-1]
1x 196 cm x 45 cm x 30 cm (25 kg) [1070-2]
Assembly Requirements: Partly assembled
No. of Shipping Cartons: 2
Tools & Fixings Included: Yes","https://cdn.shopify.com/s/files/1/2589/1828/products/1070-1_5a260464-54de-48ba-ae39-3e9b7b0be312.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1070-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1070-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1070-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1070-10_32953d17-e320-44ae-8948-f2588bc09205.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1070-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1070-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1070_3d7bdce2-899b-4dea-9a67-57fbb9184431.jpg"
"1281","Mouille - White","prod_01JQ0GG38Q3G61ZCHMNC251WW5","variant_01JQ0GG3A4GS6SQRST8SAFE0DW","SKU: 1281
Voltage: 110v or 230v or Low Voltage compatible
Dimmable: No
Material: Powder coated #304 grade stainless steel
Bulb Base: E26
Cord Length: 11.5 ft
Bulb Included: No
Max. Bulb Watt: Single 40 watt incandescent bulb or equivalent LED
Product Weight: 8 kg
Switch Location: On the cord
Other Information: Adjustable arms and shades
Product Dimensions: H210 cm x W135 cm x D145 cm (Base W46 cm x D53 cm, lamp shade opening diameter is approximately 25 cm)
Packaging Dimensions: 99 cm x 92 cm x 30 cm (16 kg)
Assembly Requirements: Partly assembled. Click here for instructions
Instructions Included: Yes
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/products/1281_1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1281_2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1281_3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1281_4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1281_5.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1281_7.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1281-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1281.jpg"
